slug,market_id,question,winner,start_unix,end_unix,start_iso,end_iso,closed,active,archived,endDate,closedTime,outcomes,outcomePrices,volume,liquidity,url
btc-updown-15m-1778735700,2248089,"Bitcoin Up or Down - May 14, 1:15AM-1:30AM ET",Up,1778735700,1778736600,2026-05-14T05:15:00.000Z,2026-05-14T05:30:00.000Z,true,true,false,2026-05-14T05:30:00Z,2026-05-14 05:30:16+00,Up|Down,1|0,39786.23490599997,,https://polymarket.com/event/btc-updown-15m-1778735700
btc-updown-15m-1778736600,2248124,"Bitcoin Up or Down - May 14, 1:30AM-1:45AM ET",Up,1778736600,1778737500,2026-05-14T05:30:00.000Z,2026-05-14T05:45:00.000Z,true,true,false,2026-05-14T05:45:00Z,2026-05-14 05:45:53+00,Up|Down,1|0,41863.92876900003,,https://polymarket.com/event/btc-updown-15m-1778736600
btc-updown-15m-1778737500,2248204,"Bitcoin Up or Down - May 14, 1:45AM-2:00AM ET",Up,1778737500,1778738400,2026-05-14T05:45:00.000Z,2026-05-14T06:00:00.000Z,true,true,false,2026-05-14T06:00:00Z,2026-05-14 06:00:17+00,Up|Down,1|0,52047.09543400004,,https://polymarket.com/event/btc-updown-15m-1778737500
btc-updown-15m-1778738400,2248239,"Bitcoin Up or Down - May 14, 2:00AM-2:15AM ET",Up,1778738400,1778739300,2026-05-14T06:00:00.000Z,2026-05-14T06:15:00.000Z,true,true,false,2026-05-14T06:15:00Z,2026-05-14 06:15:53+00,Up|Down,1|0,33997.94971099999,,https://polymarket.com/event/btc-updown-15m-1778738400
btc-updown-15m-1778739300,2248263,"Bitcoin Up or Down - May 14, 2:15AM-2:30AM ET",Down,1778739300,1778740200,2026-05-14T06:15:00.000Z,2026-05-14T06:30:00.000Z,true,true,false,2026-05-14T06:30:00Z,2026-05-14 06:30:16+00,Up|Down,0|1,44805.41421299999,,https://polymarket.com/event/btc-updown-15m-1778739300
btc-updown-15m-1778740200,2248324,"Bitcoin Up or Down - May 14, 2:30AM-2:45AM ET",Up,1778740200,1778741100,2026-05-14T06:30:00.000Z,2026-05-14T06:45:00.000Z,true,true,false,2026-05-14T06:45:00Z,2026-05-14 06:45:19+00,Up|Down,1|0,49468.26909299998,,https://polymarket.com/event/btc-updown-15m-1778740200
btc-updown-15m-1778741100,2248366,"Bitcoin Up or Down - May 14, 2:45AM-3:00AM ET",Down,1778741100,1778742000,2026-05-14T06:45:00.000Z,2026-05-14T07:00:00.000Z,true,true,false,2026-05-14T07:00:00Z,2026-05-14 07:00:17+00,Up|Down,0|1,39169.701318999985,,https://polymarket.com/event/btc-updown-15m-1778741100
btc-updown-15m-1778742000,2248424,"Bitcoin Up or Down - May 14, 3:00AM-3:15AM ET",Down,1778742000,1778742900,2026-05-14T07:00:00.000Z,2026-05-14T07:15:00.000Z,true,true,false,2026-05-14T07:15:00Z,2026-05-14 07:15:16+00,Up|Down,0|1,60155.343088,,https://polymarket.com/event/btc-updown-15m-1778742000
btc-updown-15m-1778742900,2248457,"Bitcoin Up or Down - May 14, 3:15AM-3:30AM ET",Up,1778742900,1778743800,2026-05-14T07:15:00.000Z,2026-05-14T07:30:00.000Z,true,true,false,2026-05-14T07:30:00Z,2026-05-14 07:30:18+00,Up|Down,1|0,43484.656204999934,,https://polymarket.com/event/btc-updown-15m-1778742900
btc-updown-15m-1778743800,2248510,"Bitcoin Up or Down - May 14, 3:30AM-3:45AM ET",Up,1778743800,1778744700,2026-05-14T07:30:00.000Z,2026-05-14T07:45:00.000Z,true,true,false,2026-05-14T07:45:00Z,2026-05-14 07:45:15+00,Up|Down,1|0,35322.44925799999,,https://polymarket.com/event/btc-updown-15m-1778743800
