timestampET,timestampUnix,title,slug,size,usdcSize,price,side,outcome,txHash
2026-05-18T20:57:48,1779152268,"Ethereum Up or Down - May 18, 8:45PM-9:00PM ET","eth-updown-15m-1779151500",6.66,5.08241,0.75,BUY,Down,0x4d3c7ae34da68695d3764e574c33c0f33a3b86d0909562dc75c601c114f2b841
2026-05-18T20:54:40,1779152080,"Ethereum Up or Down - May 18, 8:45PM-9:00PM ET","eth-updown-15m-1779151500",8.92,5.14905,0.56,BUY,Up,0x6da10efb996a82bda2ec59c3002b333d996aa990bf85d15720dedc3e0ed35db1
2026-05-18T20:54:25,1779152065,"Ethereum Up or Down - May 18, 8:45PM-9:00PM ET","eth-updown-15m-1779151500",10.63,5.07463,0.46,BUY,Down,0xd23406c40104996b58c449c7467cabe75f405552119161989cb4515e51935962
2026-05-18T20:08:23,1779149303,"Ethereum Up or Down - May 18, 8:00PM-8:15PM ET","eth-updown-15m-1779148800",7.14,5.10295,0.7,BUY,Up,0x71c7cf3a3146d39a97360091ae61a140e8589c5a6223f2a18dc093d0768fbc0d
2026-05-18T20:04:27,1779149067,"Ethereum Up or Down - May 18, 8:00PM-8:15PM ET","eth-updown-15m-1779148800",7.81,5.12435,0.64,BUY,Down,0xf95617878a48dd6c130c6298b8c73e2fbd23ff2adc9c07c4a0f256a04a172abd
2026-05-18T20:01:30,1779148890,"Ethereum Up or Down - May 18, 8:00PM-8:15PM ET","eth-updown-15m-1779148800",11.62,4.84321,0.4,BUY,Up,0x6070e471fabc0c5669ad18abb7b9774d63eda869edf82766771e10a46b2e9287
2026-05-18T19:40:58,1779147658,"Ethereum Up or Down - May 18, 7:30PM-7:45PM ET","eth-updown-15m-1779147000",7.35,5.10995,0.68,BUY,Up,0x616d6ae4bac1fef635c3c9c66da7dbc62010b2f89ffb457ecc2621b815bcf556
2026-05-18T19:40:11,1779147611,"Ethereum Up or Down - May 18, 7:30PM-7:45PM ET","eth-updown-15m-1779147000",4.59,2.28339,0.48,BUY,Down,0x8c0cc344ffe80ae50e8b3fd6e63deffa5b1d462f45b31573cee49ecd4c5d18e4
2026-05-18T19:14:50,1779146090,"Ethereum Up or Down - May 18, 7:00PM-7:15PM ET","eth-updown-15m-1779145200",7.14,2.6418,0.37,BUY,Up,0x3930532867acf6a50e141ea4fa253dfb56343f3076c976c2bc8f488f95457b31
2026-05-18T18:21:07,1779142867,"Ethereum Up or Down - May 18, 6:15PM-6:30PM ET","eth-updown-15m-1779142500",6.09,5.05672,0.82,BUY,Up,0xf49c7b1ff22427f9e3896275a847fe3f950afaa7790152bc54f468b8cd845007
2026-05-18T18:15:03,1779142503,"Ethereum Up or Down - May 18, 6:00PM-6:15PM ET","eth-updown-15m-1779141600",50,5,0.1,BUY,Down,0x26540b1fb6ae86c5f3b00c21e74d022fbc8cedf2c7999fbeef368525bb187fe1
2026-05-18T18:14:47,1779142487,"Ethereum Up or Down - May 18, 6:00PM-6:15PM ET","eth-updown-15m-1779141600",7.81,4.89415,0.61,BUY,Up,0x3c98973965398534a2076cdef9d0c826ee0dc5fb04a9fdf55b225f66eea434ed
2026-05-18T18:14:26,1779142466,"Ethereum Up or Down - May 18, 6:00PM-6:15PM ET","eth-updown-15m-1779141600",2.34,1.3971,0.58,BUY,Up,0x714dcd4cf18d2fac637df9dd09cad4bad651aa7d377aa925f242938e9e43c271
2026-05-18T17:59:11,1779141551,"Ethereum Up or Down - May 18, 5:45PM-6:00PM ET","eth-updown-15m-1779140700",7.57,4.97247,0.6407529722589168,BUY,Up,0x8566d79b1f427a70230eb9873ef6d84e90795dd96a20483bc204d2a13d2007f7
2026-05-18T17:56:37,1779141397,"Ethereum Up or Down - May 18, 5:45PM-6:00PM ET","eth-updown-15m-1779140700",10.2,5.17642,0.49,BUY,Up,0x20f91fceb89580ddba273e7a71ecbb76a01104305888dd7ae923bba75f966a88
2026-05-18T17:38:56,1779140336,"Ethereum Up or Down - May 18, 5:30PM-5:45PM ET","eth-updown-15m-1779139800",5,3.1,0.62,BUY,Up,0x521df9855d61c2e42d892605b75c7045d0dd07a589cdfbaf799cb5a3fca632a5
2026-05-18T16:31:46,1779136306,"Ethereum Up or Down - May 18, 4:30PM-4:45PM ET","eth-updown-15m-1779136200",8.19,4.9707799999999995,0.59,BUY,Down,0xe51bddf83722c39f0d8e34f4419f0c21254cf251ed5486f28d244a2751920ef0
